CustomerID,AccountNumber,AccountType,DateAccountOpened,AccountStatus
e9075d33-4774-4396-8c15-fcf805459c96,1141148848,Loan,2008-08-25,Closed
9bcfa591-d8e9-4a38-871f-64ded25fd346,5241226745,Savings,2002-02-05,Active
80edf1fe-4950-4944-ac3a-35372bdd3721,6361638632,Savings,2016-06-17,Active
3543a34e-3cb8-4fa1-b83a-4408596c50eb,2049494185,Checking,2011-01-10,Closed
a101f6ed-a57c-4394-a17d-ceff2481732e,5816568765,Credit Card,2014-04-09,Active
ed339184-2dec-4a0a-a036-ec944d82d14b,5856968694,Savings,2008-04-04,Active
aa7336fa-e1d4-4f1e-bcb0-2c66d3831983,1225614158,Savings,2014-01-27,Suspended
aadc6d99-d46b-4c3d-96ce-aa383d63a85c,1853363732,Loan,2020-02-24,Active
427d9b50-8add-4b7c-b5dd-1098c6efc364,549514576,Loan,2007-03-22,Closed
454ca057-11be-4921-9700-b5c6f60ec4a8,4195911947,Savings,2016-09-10,Closed
5cee897d-d7a8-406d-bd4f-b2bdf7bac372,5982538523,Checking,2012-01-12,Suspended
51dd760e-e059-4e59-96af-0d3cf9c1b450,9050494104,Credit Card,2016-12-14,Active
f5642057-4632-4303-b2cc-a4531a5e3bb0,4103064209,Loan,2019-09-10,Closed
e629a64a-e173-4149-bf2d-6a99b16ae7f0,5038960405,Credit Card,2019-12-03,Closed
99cd514c-39d4-40e0-ac57-d52ad1225870,3092520753,Credit Card,2000-03-06,Active
fd12a12f-5eb4-4ec9-b65d-b473cb0fbbda,5197883672,Loan,2002-11-26,Suspended
1cd528ba-9ba6-45cf-920f-410d7d98d919,7861613298,Loan,2006-03-14,Closed
1f6ddff9-caa8-45ce-bd78-4ea87b29ab49,9837426654,Credit Card,2019-06-10,Suspended
9bbf42b6-a852-47e3-83f4-6734aac5bb8f,8520779701,Credit Card,2005-10-30,Suspended
70aa690a-b833-4cdd-af37-70ec69dc0083,672219007,Credit Card,2013-05-02,Closed
aa3f0885-bbc1-4a88-8b10-222e4b8d65b3,3509097829,Savings,2010-11-03,Active
bc340d66-7b47-420d-acbc-de534c997d0e,5117212570,Credit Card,2015-03-17,Closed
bf6c647e-2210-45da-85d9-329e414e9cd9,5831388637,Loan,2003-08-10,Closed
18e2565e-f323-4b5e-8648-2b27eb322465,3717980769,Loan,2014-06-11,Closed
34b48b5f-694a-48c2-8cb5-65b7e4ff49dc,7496025082,Loan,2009-01-16,Suspended
03a2b5af-3c3f-41c5-be5e-c02c82a4da78,4100945818,Checking,2006-08-15,Active
132a4301-6a87-4176-b708-fe134f25aede,1914091563,Savings,2004-12-19,Suspended
e75acf5f-2f48-4af5-9ce9-599d6ce2ec5f,4620994830,Savings,2006-03-31,Suspended
c6389e03-7626-43fd-8215-9fa5323cd819,1439366063,Savings,2011-08-03,Suspended
5711b192-7fee-441b-aeb8-86fcf9a88faa,10530086,Loan,2008-09-04,Suspended
83352ee6-0a7e-4a0c-96bc-c2082dbac27f,951694631,Checking,2013-06-03,Suspended
0ea533ce-8307-4fab-a608-0134ffbe0cab,4619656426,Credit Card,2017-05-12,Active
f94fda18-55aa-4977-a1bc-92cbcc053220,3225234721,Loan,2011-02-15,Closed
e9316151-1d3e-4165-9fa7-60e566ab6a19,7629142644,Loan,2001-07-28,Closed
e6ab9665-ef87-44db-bded-bb4087859960,1227454663,Checking,2004-09-08,Active
f2ef99b5-cbb5-444d-a4c5-2574f15049ec,2153441108,Credit Card,2009-08-29,Active
b0271596-a333-40f4-958b-302ca91b8e5f,9687748673,Credit Card,2005-09-23,Closed
2262fd86-c353-4d2a-a6ff-24993d137be9,9845821704,Loan,2009-06-13,Suspended
71daea5f-d59e-4f5c-8a1d-ecc27e3c8033,7648960358,Checking,2004-05-20,Active
6f537ec6-d0a5-4d89-bf1e-52c365094304,3677241711,Checking,2015-01-13,Closed
9ffdbcdf-c8a6-4ae2-ac35-d30b4c75ce3c,2357278665,Savings,2005-05-14,Closed
fdb853db-62e2-4b5a-9567-cfb22f99cf1a,9355348850,Loan,2022-08-07,Active
686ef558-f7ce-4041-986c-a104c9c12339,9994096595,Credit Card,2017-08-04,Suspended
3003d69f-7f21-422e-806a-2e120e69a7fd,793086600,Loan,2014-10-13,Closed
5e48314e-edf4-4751-8cf4-7aa9a0ebd0c4,4731710890,Credit Card,2001-07-22,Closed
652ec4e9-d528-44e2-afa2-bc1aeae7c8e6,8618688136,Checking,2013-04-22,Suspended
e05b5389-abd8-442b-8ad5-e96a6393315d,8654392980,Checking,2017-04-08,Suspended
ad00d9e4-3dfe-49e8-8350-68c7e464c0ee,8393141159,Loan,2012-07-18,Active
0f4ef869-584e-44cc-b0fa-f80c4b93bb70,6069866805,Savings,2008-01-27,Suspended
a7b363ae-5432-43cf-b9f3-93da62c6dec5,731648425,Savings,2017-08-04,Closed
c7d4c24f-7775-40e4-afd0-cc1b60651511,5932674048,Credit Card,2017-08-10,Closed
2ebfb91a-0835-4238-a73b-6d4be9d5865c,8786715625,Savings,2012-02-27,Active
1aa50afe-d94a-4dff-a7d7-0e1cf6a94bc4,1291600348,Loan,2017-06-08,Suspended
dc9482fa-8f9e-4c74-8af8-c54003c511e3,7393186948,Checking,2016-02-12,Closed
a515513f-3aea-4bf2-9753-3ddd99e9a73d,1527496278,Loan,2012-08-22,Closed
3d72f7d0-4208-4f2c-ab94-c62bfb3b2435,6903044168,Credit Card,2009-01-14,Suspended
7778855a-94f4-4795-a869-56bd0ae978d9,7628680384,Credit Card,2000-09-15,Active
0598b109-c273-48b7-a23d-51b7616a7bf2,381373092,Loan,2007-02-05,Suspended
29376655-bce0-4b65-9c68-002468f732ea,6748225275,Checking,2007-10-29,Active
b14749e9-aeb2-4c27-ab39-3a7b06301ebb,3654026798,Savings,2020-07-14,Suspended
56c47ea9-32d5-4d21-b49e-28a2e6d901a5,4971007701,Checking,2009-10-11,Active
5e50d0fe-2f5f-4007-8498-368888526469,4701398736,Credit Card,2004-12-06,Suspended
c3987f79-752a-48af-ac4e-2a9281588a60,9208938638,Loan,2007-05-25,Closed
809fa822-aa48-4060-9986-1ced948fbf6a,1661524740,Credit Card,2012-05-02,Closed
d9ce6b84-be1d-41b8-a3a7-9f1c810193dc,8613001582,Checking,2004-10-30,Active
1874d190-188f-4ce4-a4ee-cbd2382d49da,4215355773,Credit Card,2001-06-02,Suspended
1a493471-8516-4a7d-8b2f-2b797c102128,3641313701,Loan,2012-04-11,Active
67df1d6f-b552-4ea0-833d-61d01210d3b3,7696292783,Checking,2019-09-26,Closed
6e6aa2b6-0cc7-4115-84a3-34940a5b7f5c,2519429041,Checking,2011-03-03,Active
1e91e619-6735-4f14-9aca-7e7a7fe5cf8f,5423340175,Savings,2014-07-13,Suspended
