TransactionID,AccountNumber,DateofTransaction,TypeofTransaction,Amount,TransactionDescription
95984544,1141148848,2020-12-11,Payment,4183.62,Civil feeling TV out firm nearly.
76250421,5241226745,2020-04-04,Withdrawal,9949.41,Than Congress difference TV enter.
15986176,6361638632,2023-01-17,Deposit,3535.63,Keep enjoy think such would should.
2001327,2049494185,2020-07-06,Payment,9510.84,Five sound nation matter budget public expert.
6790879,5816568765,2020-06-08,Deposit,2798.73,Guy option pretty fill.
83109679,5856968694,2020-12-30,Withdrawal,2188.95,Particular hold executive.
79315075,1225614158,2022-12-07,Payment,3371.7,City or firm quality environment up choose.
442745,1853363732,2020-04-24,Payment,3308.76,Her interview really seek.
52816657,549514576,2021-02-13,Payment,419.28,Song service sea bag kitchen.
20457220,4195911947,2022-08-26,Deposit,3224.65,Campaign fear friend your.
34625583,5982538523,2022-07-22,Withdrawal,6618.44,Across stay seat center attorney.
33487253,9050494104,2021-03-06,Payment,6783.26,Kid could act fear.
57577293,4103064209,2023-02-16,Withdrawal,7436.58,Color outside both half lose father.
57885056,5038960405,2021-06-22,Deposit,8615.61,Thank number life answer.
36260829,3092520753,2020-08-31,Transfer,1139.55,Population key be generation street.
65549355,5197883672,2022-06-14,Withdrawal,9535.84,Position seat decide form conference.
37901695,7861613298,2021-10-20,Transfer,2954.64,Art low entire.
3051713,9837426654,2022-10-15,Payment,8717.69,Care have husband shake quality.
16256783,8520779701,2021-09-02,Transfer,6957.76,Cultural capital course.
14862946,672219007,2020-06-20,Deposit,1157.3,Building responsibility possible.
55793070,3509097829,2021-08-24,Deposit,7210.84,Fine our rather team.
17570433,5117212570,2021-08-27,Withdrawal,2696.89,Day religious road middle.
11403452,5831388637,2020-10-19,Deposit,5560.68,Management song guess personal determine information.
25277376,3717980769,2021-02-11,Deposit,2492.42,Here onto cover develop product.
10025672,7496025082,2023-03-13,Withdrawal,3421.3,Something new product structure.
73720821,4100945818,2022-05-07,Withdrawal,6269.24,Star president turn expert.
6582329,1914091563,2020-09-01,Deposit,5872.93,Price across simple arrive.
51131031,4620994830,2021-05-13,Withdrawal,8018.56,Standard then fall enjoy social.
26464072,1439366063,2022-03-06,Withdrawal,6483.11,Vote capital stand standard nature.
42734688,10530086,2020-11-14,Payment,2212.02,Strategy gas decade perform.
10695750,951694631,2020-10-16,Deposit,7595.42,Black family bank by college suggest.
11478882,4619656426,2020-06-21,Deposit,7461.24,Girl bar onto allow.
65930852,3225234721,2020-09-11,Payment,2112.32,Evidence six because home improve stuff Congress.
98765492,7629142644,2022-08-22,Payment,7942.82,Affect share so drop south work when down.
3828707,1227454663,2020-05-14,Transfer,9598.11,Condition hit shake sit ever job remain happen.
4288579,2153441108,2020-08-01,Withdrawal,2412.79,Five teacher focus account either history.
7074834,9687748673,2022-11-17,Withdrawal,8996.66,Partner base trade memory.
36254764,9845821704,2023-02-08,Deposit,9929.76,Along hope specific.
449352,7648960358,2021-03-09,Transfer,1496.61,Then memory generation far itself movement quite.
12102982,3677241711,2020-11-07,Deposit,6079.28,Moment hour throw outside catch few difference.
7606547,2357278665,2021-12-15,Payment,6686.51,Beyond interest rest billion specific listen ever.
45500825,9355348850,2021-06-17,Withdrawal,8264.36,List part brother available around main material cold.
13598670,9994096595,2022-01-05,Transfer,3797.98,Return seven notice music.
65096746,793086600,2020-08-19,Withdrawal,1549.46,As job western party.
96275933,4731710890,2022-12-11,Withdrawal,6792.53,Middle attention image many.
90896464,8618688136,2023-02-12,Transfer,3133.0,Sort five five air news in.
89103095,8654392980,2021-12-11,Deposit,8223.35,Cover individual walk challenge mission teach.
36880398,8393141159,2020-11-04,Payment,3336.19,Game enough recent culture.
42603575,6069866805,2020-02-06,Withdrawal,8208.9,Republican well chair everyone maybe.
83015823,731648425,2022-05-17,Withdrawal,3819.79,Husband then station pass former save political.
63233570,5932674048,2021-06-04,Deposit,5377.05,Team only trial already rate.
9733423,8786715625,2022-12-17,Transfer,2879.22,Quality serious animal go everyone bit evidence.
50590081,1291600348,2021-05-01,Deposit,3360.71,Rich main believe someone notice happen.
81850525,7393186948,2022-11-14,Deposit,4750.19,The they feeling firm account civil.
53370981,1527496278,2022-08-22,Payment,8741.51,Carry standard big they relate school letter.
38320631,6903044168,2020-02-03,Withdrawal,3024.02,Similar wind human data design also.
31917700,7628680384,2020-07-24,Deposit,2196.9,Policy moment little enjoy.
70135531,381373092,2022-10-30,Transfer,1393.68,Newspaper window chair hour discover toward agency.
47847666,6748225275,2022-10-20,Payment,6611.17,Treatment push where finish company list pass follow.
53830056,3654026798,2023-02-17,Payment,7496.16,Change while because street.
99946631,4971007701,2020-10-03,Payment,6648.45,Visit director but nearly look door picture.
5401390,4701398736,2021-06-27,Transfer,7832.21,Anyone true machine according recently traditional.
53766348,9208938638,2022-08-12,Withdrawal,6619.97,Politics production wind sort season.
35902839,1661524740,2020-04-27,Withdrawal,1859.57,Their nation something make term charge ask.
38293706,8613001582,2021-01-03,Withdrawal,3045.62,Realize meeting popular ok body.
98659983,4215355773,2022-01-14,Transfer,6630.12,Those realize interest.
9425351,3641313701,2021-03-07,Transfer,5011.83,Anything enough will rate the wear.
88582277,7696292783,2021-12-13,Payment,6595.82,Oil when need why between bar fast.
56268394,2519429041,2021-02-04,Payment,8663.88,Not modern on politics.
87348128,5423340175,2022-06-11,Transfer,2855.31,Discover kind listen.
13975677,5026314533,2021-11-07,Deposit,5056.48,Enough green improve.
86180960,8890933834,2021-11-17,Payment,4238.68,Possible brother any picture low.
53282477,1291056911,2022-12-05,Deposit,3661.32,Return into product.
82793879,1980086793,2022-04-18,Transfer,6365.58,Fly seven organization side wall.
53336956,6398648030,2020-02-16,Deposit,5019.28,Poor beautiful majority executive.
36733673,9811404925,2020-04-16,Payment,5064.82,Author down one.
89991728,9848311217,2022-07-28,Deposit,7037.16,Present answer hard sound environment capital.
96194263,9100989356,2021-05-12,Transfer,2090.11,Hold step time house Mr.
23838303,3509342026,2023-02-05,Transfer,3983.84,Also show city agreement argue foot.
36634155,4250826938,2021-12-07,Deposit,9755.93,Tell eight PM per realize I.
64714619,2357458836,2021-04-17,Transfer,6998.14,Evidence Mrs film issue.
44248304,2201982343,2023-03-05,Withdrawal,9044.51,Happen little force work far race glass.
36967195,3923107325,2020-06-30,Withdrawal,5595.02,Even prove about consumer American thus write.
97550430,2353958961,2022-06-20,Payment,3759.17,Single wrong probably wear.
82625768,4825819893,2022-07-08,Payment,1543.38,Program despite total relationship coach above.
4350287,4628360833,2022-01-18,Payment,2662.59,Hold bag month control reach against personal.
83528155,6634555101,2021-06-14,Payment,2932.14,Cell agree out.
6066005,5749225984,2023-01-17,Payment,2134.29,Far young under hand board.
14019356,8351297068,2021-06-10,Payment,6080.75,Group happy else shake this.
51026054,1052790462,2021-08-01,Payment,9085.11,Group debate not.
99443720,8497525674,2022-11-26,Withdrawal,9265.65,Turn identify turn ask nor enough prevent.
44186886,3024979560,2023-01-30,Deposit,1731.44,Pay establish gun we.
68407267,5473571202,2020-01-04,Deposit,9949.13,Simple various our two increase term tree never.
20274858,5423687519,2022-03-18,Payment,8241.92,Girl rule authority case rise notice.
19246328,453857771,2020-08-17,Deposit,1281.0,Cold indicate successful away result half mean.
26181391,3699283060,2020-06-03,Deposit,1424.88,Figure society play finally.
4908352,5588463987,2022-07-14,Transfer,6507.92,Pass success office pressure both rise.
25601575,9926305018,2020-10-10,Deposit,5637.24,Describe practice side responsibility because leader affect.
76989911,4560007088,2020-08-10,Withdrawal,9857.71,Set west on base everyone participant draw.
90760486,9497337540,2023-02-09,Payment,7747.61,However similar hard war.
81098080,3320958423,2022-11-15,Transfer,3663.73,Large responsibility operation citizen boy themselves.
9332533,5626500356,2020-01-22,Payment,2993.93,Eat general point increase send.
88759137,8320839572,2020-10-28,Deposit,2778.8,Population story major million speak provide.
52351639,997078035,2020-01-10,Payment,1269.05,Begin piece wrong heart hundred difficult.
33172529,7926899948,2022-10-10,Withdrawal,7564.61,Firm sort determine cost message measure.
37408709,583836863,2021-01-18,Transfer,3169.03,Yard interesting act.
5958819,2710541833,2022-01-10,Transfer,7315.12,At service onto blood.
4767969,7879856390,2020-02-11,Withdrawal,9657.17,Leave without pick per.
10354427,5435951411,2023-02-22,Withdrawal,2304.4,Product site source point.
64647592,8630108010,2020-06-26,Payment,9835.22,Room gun song parent.
61065005,9993086,2020-03-02,Deposit,8726.03,Federal realize nearly become easy.
49228113,9744970559,2021-02-20,Deposit,7648.14,Identify walk law.
69486601,4266130960,2021-09-22,Payment,1160.04,Next usually reveal next green.
13119425,1920267127,2022-05-21,Withdrawal,2226.95,Between recognize wind.
12274826,4172021542,2020-07-20,Payment,1055.0,Product skill shoulder tend agency shoulder.
52808658,8672789322,2022-03-19,Withdrawal,8302.94,Against everyone similar nation left eye.
49030413,7336032101,2022-08-28,Deposit,6811.66,Often exist water western.
93496525,2420265617,2020-12-13,Payment,8396.23,Trouble follow party suddenly.
65148881,215944424,2020-05-01,Transfer,1210.36,Policy scene us star direction arrive test lose.
18682879,3363736547,2022-09-19,Payment,3248.12,Sometimes main economic break.
52386651,7394847365,2020-05-09,Transfer,4948.62,Manage recent box pressure.
68099770,4597401498,2022-09-09,Deposit,550.52,Happen sure market relationship trip bit reflect.
30703483,6991452979,2022-07-04,Withdrawal,9317.69,Huge sister safe scene my hair your.
34812174,9958142402,2020-06-28,Payment,6548.4,Speak reflect truth other.
31152522,3869842564,2022-07-09,Withdrawal,5055.89,Fire relate job four food.
68701180,163724634,2021-01-28,Transfer,2057.38,Training ok under big value woman pull control.
28675598,3304144708,2020-12-28,Transfer,1497.58,We style science realize.
3213346,2547552312,2022-09-24,Deposit,1575.53,Might charge clear plan season candidate stuff continue.
24221248,5637236548,2021-10-18,Payment,1676.41,Range community PM step they sure.
60967616,7616754115,2021-06-10,Transfer,7503.36,Run crime scene word player above.
1168988,7953020213,2021-06-04,Payment,2256.76,Tree off edge understand take staff however.
14058998,2446185330,2022-01-28,Transfer,6847.36,Meet authority recognize head administration serious.
1545325,9665721519,2020-12-13,Transfer,3933.14,Possible main many smile.
70367310,3813296710,2020-10-19,Transfer,3949.28,Edge certain carry race suddenly.
47451772,9429138430,2020-03-10,Withdrawal,3789.98,Write stock even bad performance former but.
50903285,7990734115,2021-08-07,Deposit,7235.95,Without above while that good.
79516264,5581234870,2022-01-06,Payment,9339.2,Teach nation truth.
21783706,4532714825,2020-03-08,Transfer,6767.03,Item room law town.
44478859,6628905079,2023-02-17,Withdrawal,7135.87,Wait ground president position.
49144413,1717845533,2020-02-06,Withdrawal,313.25,But officer nature street reveal.
15626100,670715205,2022-12-05,Transfer,8778.39,Remain year doctor miss.
97014279,7298647768,2022-07-29,Transfer,6865.02,Source American network.
57256583,3821210942,2020-02-16,Payment,2304.46,Bring able image process.
253297,9548823692,2022-10-11,Payment,4504.3,Where forget respond art cause set.
72473550,8661801615,2020-04-18,Payment,7776.92,Between break need weight loss.
260227,5255301459,2020-11-29,Payment,3583.14,Adult ready white teach free step.
38470759,816714933,2021-04-25,Withdrawal,1201.69,Try a report very.
98273176,8836267215,2020-03-20,Withdrawal,9526.01,Figure say should million.
84252811,697332234,2023-02-04,Deposit,5934.28,Size which home another true consumer speak identify.
86734900,559506748,2021-04-19,Deposit,3542.83,Relationship husband yourself couple rich voice social.
43148057,5848568515,2022-07-22,Payment,2138.56,Wide audience cell different usually standard.
93848206,7677154987,2022-01-04,Deposit,8857.24,Stock anything Mr evidence back him.
55345960,7054520448,2020-07-09,Transfer,7210.48,Long quite force someone.
94233380,9567174811,2022-04-06,Payment,6339.75,Practice about there admit hand matter.
39277374,6375935373,2021-10-18,Transfer,2556.86,Western report fall employee decade.
20333605,6899275613,2021-02-20,Transfer,2685.86,Doctor run system describe nor draw analysis.
55709960,3669543156,2022-04-30,Deposit,6263.84,Play recent technology investment fine suggest agree.
68283023,794723521,2022-05-19,Deposit,873.22,Treat after personal let some should.
61833642,1996428339,2023-02-03,Deposit,8204.32,Person manager too method see.
71655670,2163054563,2020-05-15,Transfer,5510.65,Piece eat player.
99125676,2530026030,2020-12-27,Withdrawal,8484.82,Keep condition nothing shoulder case girl can ahead.
59005834,7376297350,2021-12-05,Payment,1814.84,Management give role shake.
68418929,2848373659,2021-01-01,Transfer,300.92,Because eat heavy himself floor.
60188447,5029193632,2021-09-22,Withdrawal,7405.94,My box today theory.
31346667,8831965880,2020-11-10,Deposit,442.22,Improve without piece.
80405875,8315492150,2022-07-06,Withdrawal,622.28,Series evidence foreign trouble quickly onto recognize.
49795626,2236111821,2021-09-16,Withdrawal,9546.98,Soldier almost manager adult friend each outside.
62969806,750844291,2020-06-10,Payment,3337.46,Training beautiful bad behind address talk.
27515818,9575486539,2021-10-02,Withdrawal,8408.71,Message during raise why.
25078129,5654219348,2022-07-24,Withdrawal,5569.22,Third home fire trial remain.
