CardNumber,AccountNumber,CreditLimit,CardType,ExpiryDate,CVV
3525453326694891,1480590785,8704,Visa,2029-07-09,354
4496902071643696,9702541340,7951,MasterCard,2029-12-13,9728
4536028748789449163,9586739807,2104,Visa,2029-06-24,086
4855267878837759307,8293118105,2824,MasterCard,2027-09-03,124
378586058918360,2794308990,6303,AMEX,2027-05-03,234
376946368243077,4509140345,6233,MasterCard,2028-08-13,692
6011623307532351,4910679076,8581,Visa,2026-01-06,6774
3588585280653159,9774562788,4706,MasterCard,2026-10-04,634
2275753572089983,2365066715,5978,MasterCard,2025-06-23,580
180082452695588,6719559919,4295,MasterCard,2025-06-15,911
4791913362879870921,8733574937,5944,AMEX,2026-09-17,037
6538174831327441,5270673118,1018,AMEX,2029-08-10,976
589209355520,3093932369,4585,Visa,2028-04-29,194
4400805101652956,2404517246,8283,MasterCard,2025-07-22,957
3590602530567869,2915287975,8216,AMEX,2027-09-03,482
567976259778,5031755623,4524,AMEX,2025-09-06,399
4928437402843,6902290450,1823,AMEX,2024-09-04,938
4757213505593729,4890753815,1811,MasterCard,2026-10-27,020
213144627201907,5340074181,6242,MasterCard,2024-04-29,037
4105330868446102,4098810798,2195,AMEX,2025-05-06,496
3547035988648077,5262850724,3111,MasterCard,2027-11-02,9611
060460463395,9183938464,6842,MasterCard,2027-07-09,376
4475557645656440426,8698466563,5286,MasterCard,2026-05-12,349
30184232703658,195486698,9454,AMEX,2029-12-28,646
2477985594568455,3286829315,6776,MasterCard,2026-12-25,011
4201265240638748642,9881375834,5356,AMEX,2025-12-25,251
4206281668839632,3047841085,1710,MasterCard,2025-03-06,324
180088444825134,1155395615,2214,Visa,2024-07-03,867
2298914558568761,4818561324,1762,MasterCard,2028-12-06,554
2286717992572099,3770456034,9048,AMEX,2026-01-26,550
4395055126605756,8751607072,9868,Visa,2026-07-15,740
4810981339884060826,2093981767,8163,Visa,2024-12-17,6658
3597627332266207,6738302722,1477,Visa,2029-08-11,817
502081361243,5493628321,7271,AMEX,2024-07-26,973
6504999375634061,1242875721,2720,MasterCard,2025-09-01,891
4373057190947797,823991897,3452,AMEX,2028-02-15,927
180019694889553,8750891929,1332,MasterCard,2025-03-25,033
675945510658,8848851559,8302,AMEX,2026-04-16,012
4541735177130,1594465088,4122,MasterCard,2025-11-24,098
3543416878942032,139836624,6305,MasterCard,2027-01-28,719
5377794155868666,4207304824,4017,MasterCard,2026-03-26,920
2279307589040780,272877394,9989,AMEX,2025-06-04,5567
4745572379242,9545851401,5783,Visa,2026-08-14,602
589612650624,1942200603,7431,MasterCard,2028-06-13,1955
180038731764074,1676273422,9622,MasterCard,2028-12-20,436
4193317008745,9319883964,7347,MasterCard,2028-06-24,120
346398905434792,1774948549,5118,AMEX,2027-02-19,747
6556676501101812,4380836984,9375,Visa,2029-06-13,256
3501335728905389,2148244931,1873,AMEX,2027-04-14,183
6564632354434081,8433193319,9501,Visa,2027-12-07,300
370578900377018,6030610387,9053,MasterCard,2025-10-09,110
2720135123793837,9834953055,3601,MasterCard,2026-07-15,284
372849215483678,7578784489,9009,AMEX,2025-04-14,888
3534186647261771,9285193751,7133,MasterCard,2025-04-11,047
4967481505458385,2609713689,5286,MasterCard,2024-08-02,028
