LoanID,AccountNumber,LoanAmount,LoanStartDate,LoanType,InterestRate,LoanTerm,MonthlyRepaymentAmount
65291863,1480590785,23254,2018-07-24,Mortgage,8.69,10,832
30731231,9702541340,32779,2017-08-29,Auto,9.17,30,1401
45050215,9586739807,32971,2010-09-17,Mortgage,6.15,10,270
60621569,8293118105,15099,2014-02-17,Personal,8.3,20,646
1130115,2794308990,38024,2016-04-23,Mortgage,7.21,30,897
19915421,4509140345,5120,2012-03-15,Mortgage,6.95,10,1532
55312978,4910679076,36493,2017-08-20,Mortgage,9.62,25,1492
9142956,9774562788,6019,2011-02-24,Personal,6.0,25,249
74528004,2365066715,21129,2010-06-30,Personal,3.71,25,1057
61650608,6719559919,14402,2018-12-12,Mortgage,7.82,25,463
29357241,8733574937,24960,2012-07-14,Mortgage,2.64,20,585
29051391,5270673118,43805,2014-10-17,Personal,3.12,15,1922
60702550,3093932369,41115,2012-08-13,Mortgage,5.53,20,357
12840578,2404517246,12163,2015-12-24,Mortgage,8.74,30,1657
85620552,2915287975,24836,2010-02-13,Mortgage,5.22,15,1002
45477337,5031755623,28086,2022-03-29,Personal,1.51,15,1786
80037393,6902290450,48605,2018-07-14,Personal,7.92,25,1730
43648182,4890753815,16975,2018-03-21,Personal,3.85,25,699
13170029,5340074181,28439,2022-06-08,Mortgage,4.95,30,1552
41711937,4098810798,33111,2012-11-08,Auto,6.97,10,749
20800849,5262850724,14701,2022-06-28,Auto,6.12,20,1073
35259511,9183938464,17052,2010-12-13,Personal,7.31,25,1018
49802048,8698466563,38645,2013-11-28,Auto,3.35,10,575
3986563,195486698,13404,2016-11-23,Auto,9.49,25,1453
68938613,3286829315,11877,2020-06-01,Mortgage,3.74,20,435
29029542,9881375834,13865,2018-10-09,Auto,9.19,20,1284
49591515,3047841085,18492,2022-02-19,Auto,4.62,30,1409
80412080,1155395615,19169,2013-06-07,Auto,6.55,30,909
56714260,4818561324,49094,2018-01-08,Auto,9.2,10,1214
39881633,3770456034,40316,2017-11-19,Personal,2.92,10,883
30817961,8751607072,10595,2016-09-03,Personal,3.12,25,779
35343051,2093981767,7948,2018-01-23,Personal,9.61,30,476
24555888,6738302722,19307,2011-09-26,Auto,8.74,10,1194
58303295,5493628321,40119,2013-07-06,Mortgage,7.45,30,1192
36658024,1242875721,49708,2018-11-09,Personal,3.95,10,1139
51579236,823991897,22689,2012-01-28,Mortgage,4.53,30,947
79181414,8750891929,10264,2016-03-30,Mortgage,7.7,30,599
98084378,8848851559,25906,2017-09-22,Auto,4.49,25,1692
92721138,1594465088,34224,2014-01-16,Personal,3.94,15,306
92896685,139836624,47754,2017-03-06,Mortgage,3.17,30,1835
60871245,4207304824,43465,2012-08-29,Personal,2.09,15,415
30864975,272877394,10799,2014-04-02,Mortgage,3.41,30,470
60261276,9545851401,48280,2018-03-07,Mortgage,1.94,15,1901
4364527,1942200603,35349,2016-05-29,Mortgage,8.08,15,1904
63683131,1676273422,13762,2018-10-27,Mortgage,3.74,15,1067
67949752,9319883964,19276,2015-04-25,Personal,9.76,25,1260
1618956,1774948549,31256,2017-11-27,Personal,4.86,10,1194
35286899,4380836984,31356,2014-10-13,Personal,1.99,25,903
25532119,2148244931,25422,2018-09-13,Mortgage,5.85,10,1728
19255532,8433193319,37962,2013-09-08,Mortgage,7.65,25,917
65613092,6030610387,21638,2021-11-08,Auto,5.67,15,1579
22808393,9834953055,10114,2021-03-31,Auto,9.33,25,1371
40908307,7578784489,12232,2016-01-02,Personal,9.81,15,1009
86688540,9285193751,42687,2019-05-24,Personal,5.0,15,1914
3064004,2609713689,30826,2021-09-22,Auto,9.88,30,1272
10714,9941980083,5553,2022-09-12,Mortgage,6.84,10,414
25469604,1578651691,47862,2010-01-14,Personal,3.36,25,1879
12967582,381828959,24213,2011-05-03,Personal,4.57,25,1324
92635576,3938024152,31861,2014-07-13,Auto,1.85,10,646
52965116,3405367976,25727,2021-11-21,Personal,2.16,30,687
97176424,3905211047,18526,2016-09-16,Auto,9.67,30,1279
84482864,3883620907,41588,2015-10-30,Auto,6.16,10,1726
14754399,7196102445,30326,2020-03-22,Personal,3.6,10,450
2848709,6177556108,43795,2010-04-26,Auto,7.75,20,1701
29477304,7445967336,47615,2014-09-11,Auto,7.74,15,292
38471992,2659856625,5138,2021-02-10,Personal,1.76,10,1589
6387091,1951577334,25909,2013-02-06,Mortgage,9.69,20,1015
78027635,3496732526,5942,2015-11-18,Personal,8.89,25,1958
58727756,1604884763,34577,2013-09-03,Mortgage,5.55,30,349
50010809,8017973539,23861,2017-07-24,Personal,2.81,25,1901
58025162,8605926982,45866,2010-07-22,Mortgage,3.81,15,295
72764007,9388395517,7146,2016-04-06,Personal,7.72,20,467
72840054,3327158099,45240,2022-09-28,Auto,6.02,25,618
65739629,8972218907,15359,2020-09-24,Mortgage,1.76,25,1158
75878702,3364339042,26570,2010-01-29,Personal,2.89,10,1741
7791056,1946774963,16645,2020-08-13,Personal,5.36,15,805
57827716,1337741903,28163,2010-07-19,Personal,2.45,30,248
78993337,6382711558,13898,2018-09-12,Mortgage,8.18,30,1067
23740306,3952490796,8213,2015-12-09,Mortgage,1.75,30,340
63677446,8488471243,38694,2012-06-28,Mortgage,6.18,15,1437
40532721,8456321848,46404,2014-04-19,Auto,2.42,10,477
48407820,5206138197,41090,2014-11-19,Auto,9.78,10,1112
94607182,871897455,19686,2021-12-11,Auto,9.77,20,1128
17361084,4713675346,41944,2016-07-16,Personal,5.86,10,974
80488843,912490286,19730,2022-10-03,Auto,8.15,30,799
4704699,7755302170,39186,2017-11-04,Mortgage,5.66,15,451
11006378,3832998711,13080,2011-12-23,Auto,4.88,10,313
56312370,9193122116,35730,2011-03-25,Auto,8.35,15,1083
45249167,7316292286,37089,2015-05-06,Auto,4.62,15,1500
25026687,7761229210,23331,2014-01-02,Personal,7.44,20,877
63167701,5909372484,41616,2015-06-26,Auto,5.73,20,1947
22066140,5880477854,27412,2021-06-12,Personal,2.39,20,1738
50983804,1003419106,47077,2013-06-19,Auto,8.8,30,1376
83649639,705495148,12827,2016-06-10,Mortgage,3.57,15,828
82055020,9091951934,44890,2019-02-22,Mortgage,2.37,30,1134
56245354,2704546863,32701,2018-01-23,Auto,6.5,10,450
60317614,7819610343,18306,2011-03-10,Personal,2.65,25,1224
77374540,5493781080,25654,2011-12-25,Personal,5.13,10,1932
41186987,1747313228,31091,2013-11-29,Auto,8.95,10,1111
50459861,8685289517,23200,2018-01-04,Personal,7.58,30,1998
76780548,8345643103,25610,2010-04-13,Personal,1.83,15,602
89277424,8878212704,27805,2016-12-18,Mortgage,3.65,15,954
11978530,4514833914,34976,2015-05-12,Personal,4.34,25,1602
