TransactionID,AccountNumber,DateofTransaction,TypeofTransaction,Amount,TransactionDescription
73018798,270749932,2022-08-13,Deposit,2984.87,And drop less seat strategy eye.
41549331,6989827612,2022-12-25,Transfer,5601.25,Strategy instead study job list.
10337813,8885374581,2020-04-23,Payment,6709.64,Whom thousand despite now hour air.
31011756,368239501,2021-01-04,Transfer,704.71,According bag board machine culture.
28405911,7909810626,2022-12-09,Withdrawal,797.61,Human join imagine thing.
45265497,2903265404,2020-06-15,Deposit,5038.33,Professor president week happen statement place point.
33114170,6675099593,2022-12-20,Payment,9032.18,Pay sometimes pull key agency view war race.
5227963,1093141947,2020-09-04,Payment,9004.06,Door deal million century.
57338012,8418664155,2022-12-09,Payment,8635.64,Find do process sign eye firm.
81482895,9714618060,2021-10-13,Transfer,8488.79,Floor individual west before police rule anything serve.
20873973,2642474221,2020-07-16,Withdrawal,2852.26,Open young evening can action newspaper live.
65634344,5177767853,2021-10-16,Withdrawal,8304.69,Worker amount some recognize.
91762637,5165222757,2022-01-03,Transfer,4814.39,Perhaps special level note.
71925415,6749335538,2020-10-06,Transfer,5062.37,Marriage unit always note PM.
71247547,6726356923,2020-04-04,Payment,5586.88,Drug lawyer speak and successful environmental.
9772061,7714766941,2020-02-22,Withdrawal,9652.94,Mr big agent while which real deep western.
83838867,2914710893,2020-03-11,Payment,5400.01,Effect agree shoulder.
39729470,1435890977,2021-03-31,Transfer,428.99,Determine TV to grow.
19481805,8793765077,2020-11-27,Transfer,5817.57,Seek mention better discussion.
56368098,743060724,2020-05-20,Transfer,7397.07,Talk know sing oil cut hundred language.
94121862,77975803,2021-04-07,Transfer,6902.87,Kind above language drive.
59642824,7858376753,2020-03-02,Deposit,6423.0,Mouth history street give sign a.
72594538,5355582442,2022-02-14,Deposit,7340.73,Since themselves type chance guess place.
16319805,2525304278,2022-05-03,Payment,9861.96,Quite even safe not explain any begin necessary.
38782536,6678006338,2020-06-26,Deposit,4709.85,Career bag bill nor it party.
35142346,8827000611,2021-01-09,Deposit,7184.9,Bank son week sit century whether moment protect.
7515881,3014320157,2022-05-22,Deposit,8132.9,Sign for moment environment describe.
23281082,4371577102,2020-09-23,Payment,9389.19,Defense sense remember note yes ten relate.
10436067,2394519594,2022-05-04,Payment,7002.77,Walk treatment rest over way as.
8591288,6093964152,2021-03-21,Deposit,633.18,Sing pay executive performance.
21083596,6255478470,2020-01-01,Deposit,959.0,Trade sit start agreement.
62221848,5463589032,2020-06-12,Withdrawal,9699.17,Yes believe especially however could purpose mouth mission.
27073298,4566109905,2022-02-10,Transfer,269.56,Network final live professor fly specific.
65774165,9803979567,2021-03-24,Transfer,7974.16,Likely large manage word pretty democratic interest hold.
49893993,8517393474,2022-05-05,Payment,9517.2,Last artist set new with consumer morning.
86812363,1891273665,2021-06-10,Deposit,7846.57,Bit blue dream.
56702610,2536958420,2021-10-17,Transfer,3384.66,Total eye laugh both.
13287525,4592823366,2022-09-24,Withdrawal,2875.9,Story able now there offer family.
12441216,6740055436,2022-07-23,Withdrawal,2949.69,Degree agency than walk.
